title,score,score_phrase,platform,genre,release_year,release_month,release_day
Checkered Flag,10.0,Masterpiece,Lynx,Racing,1999,7,6
Chrono Trigger,10.0,Masterpiece,Wii,"Action, RPG",2011,5,25
Dragon Warrior III,10.0,Masterpiece,Game Boy Color,RPG,2001,7,20
Grand Theft Auto IV,10.0,Masterpiece,Xbox 360,"Action, Adventure",2008,4,25
Grand Theft Auto IV,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2008,4,25
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,Xbox 360,Action,2008,4,29
Grand Theft Auto IV (Special Edition),10.0,Masterpiece,PlayStation 3,Action,2008,4,29
Grand Theft Auto V,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,Xbox 360,"Action, Adventure",2013,9,16
Grand Theft Auto V,10.0,Masterpiece,PlayStation 4,"Action, Adventure",2014,11,17
Grand Theft Auto V,10.0,Masterpiece,Xbox One,"Action, Adventure",2014,11,17
Grand Theft Auto V,10.0,Masterpiece,PC,"Action, Adventure",2015,4,14
Infinity Blade II,10.0,Masterpiece,iPhone,"Fighting, Action",2011,11,30
Inside,10.0,Masterpiece,PlayStation 4,Adventure,2016,6,28
Inside,10.0,Masterpiece,Xbox One,Adventure,2016,6,28
Inside,10.0,Masterpiece,PC,Adventure,2016,6,28
Joust,10.0,Masterpiece,Lynx,Action,1999,7,6
Magical Tetris Challenge,10.0,Masterpiece,Game Boy Color,"Puzzle, Adventure",2000,2,28
Mario Golf [Game Boy Color],10.0,Masterpiece,Game Boy Color,"Sports, Action",1999,10,5
Metal Gear Solid 4: Guns of the Patriots,10.0,Masterpiece,PlayStation 3,Action,2008,6,12
Metal Gear Solid 4: Guns of the Patriots (Limited Edition),10.0,Masterpiece,PlayStation 3,Action,2008,6,13
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,Xbox One,Action,2015,8,24
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,PlayStation 4,Action,2015,8,24
Metal Gear Solid V: The Phantom Pain,10.0,Masterpiece,PC,Action,2015,8,24
Metal Gear Solid [2000],10.0,Masterpiece,Game Boy Color,"Action, Adventure",2000,5,5
Pac-Man Championship Edition DX,10.0,Masterpiece,PlayStation 3,Action,2010,11,30
Pac-Man Championship Edition DX,10.0,Masterpiece,Xbox 360,Action,2010,11,16
Pokemon Blue Version,10.0,Masterpiece,Game Boy,RPG,1999,6,23
Pokemon Gold Version,10.0,Masterpiece,Game Boy Color,RPG,2000,10,16
Pokemon Red Version,10.0,Masterpiece,Game Boy,RPG,1999,6,23
Pokemon Silver Version,10.0,Masterpiece,Game Boy Color,RPG,2000,10,16
Pokemon Yellow: Special Pikachu Edition,10.0,Masterpiece,Game Boy,RPG,1999,10,19
Red Dead Redemption -- Undead Nightmare,10.0,Masterpiece,Xbox 360,"Action, Adventure",2010,10,27
Red Dead Redemption -- Undead Nightmare,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2010,10,27
SNK vs. Capcom: Match of the Millennium,10.0,Masterpiece,NeoGeo Pocket Color,Fighting,2000,1,4
Shanghai,10.0,Masterpiece,Lynx,Puzzle,1999,7,6
Sonic The Hedgehog: Pocket Adventure,10.0,Masterpiece,NeoGeo Pocket Color,Platformer,1999,12,7
Soulcalibur,10.0,Masterpiece,Dreamcast,Fighting,1999,9,20
Super Mario Bros. Deluxe,10.0,Masterpiece,Game Boy Color,Platformer,1999,7,21
Super Mario Galaxy 2,10.0,Masterpiece,Wii,Platformer,2010,5,20
The Last of Us,10.0,Masterpiece,PlayStation 3,Action,2013,6,5
The Last of Us: Remastered,10.0,Masterpiece,PlayStation 4,Action,2014,7,28
The Legend of Zelda: Link's Awakening DX,10.0,Masterpiece,Game Boy Color,"Action, Adventure",1999,9,17
The Legend of Zelda: Ocarina of Time,10.0,Masterpiece,Nintendo 64,"Action, Adventure",1998,11,25
The Legend of Zelda: Ocarina of Time,10.0,Masterpiece,Wii,"Action, Adventure",2007,2,26
The Legend of Zelda: Oracle of Ages,10.0,Masterpiece,Game Boy Color,"Action, Adventure",2001,5,14
The Legend of Zelda: Oracle of Seasons,10.0,Masterpiece,Game Boy Color,"Action, Adventure",2001,5,14
The Legend of Zelda: Skyward Sword,10.0,Masterpiece,Wii,"Action, Adventure",2011,11,11
The Witness,10.0,Masterpiece,PlayStation 4,Puzzle,2016,1,25
The Witness,10.0,Masterpiece,PC,Puzzle,2016,1,25
The Witness,10.0,Masterpiece,Xbox One,Puzzle,2016,1,25
Tornado Mania,10.0,Masterpiece,Wireless,Puzzle,2006,12,8
Uncharted 3: Drake's Deception,10.0,Masterpiece,PlayStation 3,"Action, Adventure",2011,10,24
Undertale,10.0,Masterpiece,PC,RPG,2016,1,13
Undertale,10.0,Masterpiece,Macintosh,RPG,2016,1,13
Advance Wars,9.9,Amazing,Game Boy Advance,Strategy,2001,9,10
Conker's Bad Fur Day,9.9,Amazing,Nintendo 64,"Action, Adventure",2001,3,2
Grand Theft Auto: San Andreas,9.9,Amazing,PlayStation 2,"Action, Adventure",2004,10,25
Jade Empire,9.9,Amazing,Xbox,RPG,2005,4,8
The Legend of Zelda: Majora's Mask,9.9,Amazing,Nintendo 64,"Action, Adventure",2000,10,25
Tony Hawk's Pro Skater 2,9.9,Amazing,Dreamcast,Sports,2000,11,6
God of War [2005],9.8,Amazing,PlayStation 2,"Action, Adventure",2005,3,18
Gran Turismo 2,9.8,Amazing,PlayStation,Racing,1999,12,20
Gran Turismo 3 A-spec,9.8,Amazing,PlayStation 2,"Racing, Simulation",2001,8,7
Halo 2,9.8,Amazing,Xbox,Shooter,2004,11,7
Halo 2 (Limited Collector's Edition),9.8,Amazing,Xbox,Shooter,2004,11,8
Halo 4,9.8,Amazing,Xbox 360,Shooter,2012,11,1
Halo 4 (Game of the Year Edition),9.8,Amazing,Xbox 360,Shooter,2004,11,19
Halo 4 (Limited Edition),9.8,Amazing,Xbox 360,Shooter,2012,11,1
Metal Gear Solid,9.8,Amazing,PlayStation,"Action, Adventure",1998,10,21
Metal Gear Solid 3: Subsistence,9.8,Amazing,PlayStation 2,Action,2006,3,10
Metal Gear Solid 3: Subsistence (Limited Edition),9.8,Amazing,PlayStation 2,Action,2006,3,10
Metroid Prime,9.8,Amazing,GameCube,"Action, Adventure",2002,11,11
Perfect Dark,9.8,Amazing,Nintendo 64,Shooter,2000,5,19
Resident Evil 4,9.8,Amazing,GameCube,"Action, Adventure",2005,1,7
Super Mario 64,9.8,Amazing,Nintendo 64,Platformer,1996,9,25
Super Smash Bros. for Wii U,9.8,Amazing,Wii U,Fighting,2014,11,19
The Legend of Zelda: The Wind Waker HD,9.8,Amazing,Wii U,"Action, Adventure",2013,9,17
The Legend of Zelda: The Wind Waker HD (Nintendo eShop Edition),9.8,Amazing,Wii U,"Action, Adventure",2013,9,17
Tony Hawk's Pro Skater,9.8,Amazing,Dreamcast,Sports,2000,5,24
BioShock,9.7,Amazing,Xbox 360,Shooter,2007,8,16
BioShock,9.7,Amazing,PC,Shooter,2007,8,17
BioShock (Limited Edition),9.7,Amazing,Xbox 360,Shooter,2007,8,16
BioShock (Limited Edition),9.7,Amazing,PC,Shooter,2007,8,17
Black & White,9.7,Amazing,PC,Strategy,2001,3,27
Black & White (Platinum Pack),9.7,Amazing,Macintosh,Compilation,2003,3,19
Chrono Cross,9.7,Amazing,PlayStation,RPG,2000,8,15
Driver,9.7,Amazing,PlayStation,"Racing, Action",1999,7,8
Excitebike 64,9.7,Amazing,Nintendo 64,Racing,2000,5,1
God of War II,9.7,Amazing,PlayStation 2,"Action, Adventure",2007,2,12
Golden Sun,9.7,Amazing,Game Boy Advance,RPG,2001,11,9
GoldenEye 007,9.7,Amazing,Nintendo 64,Shooter,1997,8,25
Grand Theft Auto Double Pack: Grand Theft Auto III & Grand Theft Auto: Vice City,9.7,Amazing,PlayStation 2,"Action, Adventure",2003,10,22
Grand Theft Auto: Vice City,9.7,Amazing,PlayStation 2,"Action, Adventure",2002,10,28
Half-Life 2,9.7,Amazing,PC,Shooter,2004,11,15
Halo: Combat Evolved,9.7,Amazing,Xbox,Shooter,2001,11,9
Metal Gear Solid 2: Sons of Liberty,9.7,Amazing,PlayStation 2,Action,2001,11,16
Minecraft,9.7,Amazing,PlayStation 4,Action,2014,9,6
Minecraft,9.7,Amazing,Xbox One,Action,2014,9,6
NFL 2K,9.7,Amazing,Dreamcast,Sports,1999,9,24
Red Dead Redemption,9.7,Amazing,Xbox 360,"Action, Adventure",2010,5,17
Red Dead Redemption,9.7,Amazing,PlayStation 3,"Action, Adventure",2010,5,17
Shadow of the Colossus,9.7,Amazing,PlayStation 2,Adventure,2005,10,17
Shenmue,9.7,Amazing,Dreamcast,"Action, RPG",2000,11,3
Super Mario Galaxy,9.7,Amazing,Wii,Platformer,2007,11,7
The Legend of Zelda: A Link to the Past w/ the Four Swords,9.7,Amazing,Game Boy Advance,"Action, Adventure",2002,12,3
Tony Hawk's Pro Skater 3,9.7,Amazing,PlayStation 2,Sports,2001,10,30
Wave Race 64,9.7,Amazing,Nintendo 64,Racing,1996,11,15
Animal Crossing: New Leaf,9.6,Amazing,Nintendo 3DS,Simulation,2013,6,4
Banjo-Kazooie,9.6,Amazing,Nintendo 64,Platformer,1998,6,30
Crazy Taxi,9.6,Amazing,Dreamcast,"Racing, Action",2000,1,28
Devil May Cry,9.6,Amazing,PlayStation 2,"Action, Adventure",2001,10,16
Devil May Cry 3: Dante's Awakening,9.6,Amazing,PlayStation 2,Action,2005,2,25
Eternal Darkness: Sanity's Requiem,9.6,Amazing,GameCube,Adventure,2002,6,21
FTL: Faster Than Light,9.6,Amazing,iPad,Simulation,2014,4,25
FTL: Faster Than Light,9.6,Amazing,PC,Simulation,2014,4,25
Fallout 3,9.6,Amazing,Xbox 360,"Action, RPG",2008,10,27
Fallout 3,9.6,Amazing,PC,"Action, RPG",2008,10,27
Fallout 3 (Collector's Edition),9.6,Amazing,Xbox 360,"Action, RPG",2008,10,28
Fallout 3 (Collector's Edition),9.6,Amazing,PC,"Action, RPG",2008,10,28
Fallout 3 (Survival Edition),9.6,Amazing,Xbox 360,"Action, RPG",2008,10,28
Fallout 3 -- Game of the Year Edition,9.6,Amazing,Xbox 360,"Action, RPG",2009,10,15
Fallout 3 -- Game of the Year Edition,9.6,Amazing,PC,"Action, RPG",2009,10,15
Fire Emblem Awakening,9.6,Amazing,Nintendo 3DS,"Strategy, RPG",2013,1,30
Grand Theft Auto III,9.6,Amazing,PlayStation 2,"Action, Adventure",2001,10,22
Grand Theft Auto: San Andreas (Special Edition),9.6,Amazing,PlayStation 2,"Action, Adventure",2005,11,18
Jak 3,9.6,Amazing,PlayStation 2,Action,2004,11,5
Jet Grind Radio,9.6,Amazing,Dreamcast,Action,2000,10,27
Mass Effect 2,9.6,Amazing,PC,RPG,2010,1,22
Mass Effect 2,9.6,Amazing,Xbox 360,RPG,2010,1,22
Mass Effect 2 (Collector's Edition),9.6,Amazing,PC,RPG,2010,2,8
Mass Effect 2 (Collector's Edition),9.6,Amazing,Xbox 360,RPG,2010,2,8
Metal Gear Solid 3: Snake Eater,9.6,Amazing,PlayStation 2,Action,2004,11,16
Pokemon Black Version 2,9.6,Amazing,Nintendo DS,RPG,2012,10,3
Pokemon White Version 2,9.6,Amazing,Nintendo DS,RPG,2012,10,3
Prince of Persia: The Sands of Time,9.6,Amazing,PlayStation 2,"Action, Adventure",2003,11,7
Prince of Persia: The Sands of Time,9.6,Amazing,Xbox,"Action, Adventure",2003,11,10
Prince of Persia: The Sands of Time,9.6,Amazing,GameCube,"Action, Adventure",2003,11,10
Ratchet & Clank: Up Your Arsenal,9.6,Amazing,PlayStation 2,Action,2004,10,28
Rayman 2: The Great Escape,9.6,Amazing,Dreamcast,Platformer,2000,3,21
Samba de Amigo Ver. 2000,9.6,Amazing,Dreamcast,Music,2001,1,4
Super Mario 3D World,9.6,Amazing,Wii U,Platformer,2013,11,19
Super Smash Bros. Melee,9.6,Amazing,GameCube,Fighting,2001,12,3
Tennis 2K2,9.6,Amazing,Dreamcast,Sports,2001,10,29
The Legend of Zelda: The Wind Waker,9.6,Amazing,GameCube,"Action, Adventure",2003,3,21
Tom Clancy's Splinter Cell,9.6,Amazing,Xbox,Adventure,2002,11,18
Tom Clancy's Splinter Cell Chaos Theory,9.6,Amazing,Xbox,"Action, Adventure",2005,3,23
Tom Clancy's Splinter Cell Chaos Theory,9.6,Amazing,PC,"Action, Adventure",2005,3,23
Tony Hawk's Pro Skater 2,9.6,Amazing,PlayStation,Sports,2000,9,19
Tony Hawk's Pro Skater 3,9.6,Amazing,PlayStation,Sports,2001,11,9
Tony Hawk's Pro Skater 3,9.6,Amazing,Game Boy Advance,Sports,2002,3,6
Twisted Metal: Black,9.6,Amazing,PlayStation 2,Shooter,2001,6,18
Unreal Tournament [1999],9.6,Amazing,PC,Shooter,1999,12,6
Unreal Tournament [1999],9.6,Amazing,Macintosh,Shooter,2002,6,10
Vagrant Story,9.6,Amazing,PlayStation,RPG,2000,5,22
Ape Escape,9.5,Amazing,PlayStation,Platformer,1999,6,23
Batman: Arkham City,9.5,Amazing,Xbox 360,Action,2011,10,14
Batman: Arkham City,9.5,Amazing,PlayStation 3,Action,2011,10,14
Batman: Arkham City,9.5,Amazing,PC,Action,2011,11,29
Batman: Arkham City -- Armored Edition,9.5,Amazing,Wii U,Action,2012,11,17
Battlefield: Bad Company 2 -- Vietnam,9.5,Amazing,Xbox 360,Shooter,2010,12,16
Battlefield: Bad Company 2 -- Vietnam,9.5,Amazing,PC,Shooter,2010,12,16
Bayonetta,9.5,Amazing,Xbox 360,Action,2009,12,22
Bayonetta 2,9.5,Amazing,Wii U,Action,2014,10,13
Bejeweled Multiplayer,9.5,Amazing,Wireless,Puzzle,2004,4,9
BioShock Infinite,9.5,Amazing,PC,Shooter,2013,3,21
Broken Age: Act 1,9.5,Amazing,iPhone,Adventure,2014,1,16
Broken Age: Act 1,9.5,Amazing,PC,Adventure,2014,1,16
Brothers in Arms 3D,9.5,Amazing,Wireless,Action,2006,4,13
Burnout 3: Takedown,9.5,Amazing,Xbox,Racing,2004,9,2
Call of Duty: Modern Warfare 2,9.5,Amazing,PC,Shooter,2009,11,10
Call of Duty: Modern Warfare 2,9.5,Amazing,PlayStation 3,Shooter,2009,11,10
Call of Duty: Modern Warfare 2,9.5,Amazing,Xbox 360,Shooter,2009,11,10
Call of Duty: Modern Warfare 2 (Hardened Edition),9.5,Amazing,PlayStation 3,Shooter,2009,11,10
Call of Duty: Modern Warfare 2 (Hardened Edition),9.5,Amazing,PlayStation 3,Shooter,2009,11,10
Call of Duty: Modern Warfare 2 (Prestige Edition),9.5,Amazing,Xbox 360,Shooter,2009,11,10
Call of Duty: Modern Warfare 2 (Prestige Edition),9.5,Amazing,PlayStation 3,Shooter,2009,11,10
Castlevania: Symphony of the Night,9.5,Amazing,PlayStation 3,"Action, Adventure",2007,11,29
Castlevania: Symphony of the Night,9.5,Amazing,PlayStation Portable,"Action, Adventure",2007,11,29
Colony Wars: Vengeance,9.5,Amazing,PlayStation,Action,1998,11,5
Crashmo,9.5,Amazing,Nintendo 3DS,"Puzzle, Action",2012,11,30
Dance Dance Revolution Konamix,9.5,Amazing,PlayStation,Music,2002,5,7
Dark Souls III,9.5,Amazing,PlayStation 4,"Action, RPG",2016,4,4
Dark Souls III,9.5,Amazing,PC,"Action, RPG",2016,4,4
Dell Magazines Crossword,9.5,Amazing,Wireless,Puzzle,2003,12,27
Device 6,9.5,Amazing,iPhone,"Puzzle, Adventure",2013,11,27
Diablo III,9.5,Amazing,Macintosh,"Action, RPG",2012,5,14
Diablo III,9.5,Amazing,PC,"Action, RPG",2012,5,14
Digital Chocolate Cafe,9.5,Amazing,Wireless,Party,2007,8,10
Elite Beat Agents,9.5,Amazing,Nintendo DS,"Music, Action",2006,11,1
Empire: Total War,9.5,Amazing,PC,Strategy,2009,2,27
Empire: Total War (Special Forces Edition),9.5,Amazing,PC,Strategy,2009,3,6
F1 Challenge '99-'02,9.5,Amazing,PC,"Racing, Simulation",2003,7,29
FIFA Soccer 12,9.5,Amazing,Xbox 360,Sports,2011,9,23
FIFA Soccer 12,9.5,Amazing,PlayStation 3,Sports,2011,9,23
Fallout 4,9.5,Amazing,PC,RPG,2015,11,9
Fallout 4,9.5,Amazing,PlayStation 4,RPG,2015,11,9
Fallout 4,9.5,Amazing,Xbox One,RPG,2015,11,9
Fez,9.5,Amazing,Xbox 360,Platformer,2012,4,11
Fez,9.5,Amazing,PC,Platformer,2013,5,1
Fez,9.5,Amazing,PlayStation 3,Platformer,2013,5,1
Fez,9.5,Amazing,PlayStation Vita,Platformer,2013,5,1
Fez,9.5,Amazing,PlayStation 4,Platformer,2013,5,1
Final Fantasy III (SNES),9.5,Amazing,Wii,RPG,2011,7,1
Final Fantasy VII,9.5,Amazing,PlayStation,RPG,1997,9,3
Final Fantasy X,9.5,Amazing,PlayStation 2,RPG,2001,12,18
Final Fantasy X-2,9.5,Amazing,PlayStation 2,RPG,2003,11,7
Final Fantasy XII,9.5,Amazing,PlayStation 2,RPG,2006,10,27
Final Fantasy XII (Collector's Edition),9.5,Amazing,PlayStation 2,RPG,2006,10,27
Fire Emblem,9.5,Amazing,Game Boy Advance,"Strategy, RPG",2003,11,5
Fire Emblem Fates: Conquest,9.5,Amazing,Nintendo 3DS,"Strategy, RPG",2016,2,17
Fire Emblem Fates: Revelation,9.5,Amazing,Nintendo 3DS,"Strategy, RPG",2016,2,23
Flower,9.5,Amazing,PlayStation 4,Action,2013,11,13
Forza Horizon 3,9.5,Amazing,Xbox One,Racing,2016,9,20
Forza Motorsport,9.5,Amazing,Xbox,"Racing, Simulation",2005,5,3
Forza Motorsport 4,9.5,Amazing,Xbox 360,Racing,2011,10,6
Gears of War 2,9.5,Amazing,Xbox 360,Shooter,2008,11,3
Gears of War 2 (Limited Edition),9.5,Amazing,Xbox 360,Shooter,2008,11,6
Gesundheit,9.5,Amazing,iPhone,"Puzzle, Action",2011,8,11
God of War: Ghost of Sparta,9.5,Amazing,PlayStation Portable,"Action, Adventure",2010,10,25
Gone Home,9.5,Amazing,Macintosh,Simulation,2013,8,15
Gone Home,9.5,Amazing,Xbox One,Simulation,2013,8,15
Gone Home,9.5,Amazing,PC,Simulation,2013,8,15
Gone Home,9.5,Amazing,Linux,Simulation,2013,8,15
Gone Home,9.5,Amazing,PlayStation 4,Simulation,2013,8,15
Gran Turismo 4,9.5,Amazing,PlayStation 2,Racing,2005,2,22
Gran Turismo [1998],9.5,Amazing,PlayStation,Racing,1998,8,23
Grand Theft Auto: Chinatown Wars,9.5,Amazing,Nintendo DS,Action,2009,3,16
Grand Theft Auto: San Andreas,9.5,Amazing,Xbox,"Action, Adventure",2005,6,7
Great Big War Game,9.5,Amazing,iPhone,Strategy,2012,7,23
Groove Coaster,9.5,Amazing,iPhone,"Music, Action",2011,7,29
Guitar Hero II (Game Only Edition),9.5,Amazing,PlayStation 2,Music,2006,11,3
Half-Life,9.5,Amazing,PC,Shooter,1998,11,25
Halo 3,9.5,Amazing,Xbox 360,Shooter,2007,9,23
Halo 3 (Collector's Edition),9.5,Amazing,Xbox 360,Shooter,2007,9,25
Halo 3 (Legendary Edition),9.5,Amazing,Xbox 360,Shooter,2007,9,25
Halo: Reach,9.5,Amazing,Xbox 360,Shooter,2010,9,11
Halo: Reach (Legendary Edition),9.5,Amazing,Xbox 360,Shooter,2010,9,11
Halo: Reach (Limited Edition),9.5,Amazing,Xbox 360,Shooter,2010,9,11
Homeworld,9.5,Amazing,PC,Strategy,1999,10,1
Jak II,9.5,Amazing,PlayStation 2,Platformer,2003,10,9
Joe Danger,9.5,Amazing,PlayStation 3,Action,2010,6,4
Joe Danger: Special Edition,9.5,Amazing,Xbox 360,Action,2011,12,14
Kirby's Adventure,9.5,Amazing,Wii,Platformer,2007,2,20
Kirby's Adventure,9.5,Amazing,NES,Platformer,2007,2,20
Lemonade Tycoon,9.5,Amazing,Wireless,Simulation,2003,5,21
LittleBigPlanet,9.5,Amazing,PlayStation 3,Platformer,2008,10,13
LittleBigPlanet (Game of the Year Edition),9.5,Amazing,PlayStation 3,Platformer,2009,9,9
Madden NFL 2004,9.5,Amazing,PlayStation 2,Sports,2003,8,11
Madden NFL 2005,9.5,Amazing,Xbox,Sports,2004,8,5
Madden NFL 2005,9.5,Amazing,PlayStation 2,Sports,2004,8,5
Madden NFL 2005,9.5,Amazing,PC,"Sports, Simulation",2004,9,28
Madden NFL 2005 (Collector's Edition),9.5,Amazing,PlayStation 2,Sports,2004,8,5
Mafia Wars: Yakuza,9.5,Amazing,Wireless,Action,2006,11,10
Mario & Luigi: Bowser's Inside Story,9.5,Amazing,Nintendo DS,"Action, RPG",2009,9,10
Mario Golf: Advance Tour,9.5,Amazing,Game Boy Advance,"Sports, Action",2004,6,11
Mario Kart DS,9.5,Amazing,Nintendo DS,Racing,2005,11,11
Mario Kart Super Circuit,9.5,Amazing,Game Boy Advance,"Racing, Action",2001,8,29
Mass Effect 2,9.5,Amazing,PlayStation 3,RPG,2011,1,17
Mass Effect 2: Lair of the Shadow Broker,9.5,Amazing,Xbox 360,RPG,2010,9,8
Mass Effect 2: Lair of the Shadow Broker,9.5,Amazing,PC,RPG,2010,9,8
Mass Effect 3,9.5,Amazing,PC,RPG,2012,3,12
Mass Effect 3,9.5,Amazing,Xbox 360,RPG,2012,3,6
Mass Effect 3,9.5,Amazing,PlayStation 3,RPG,2012,3,6
Mass Effect 3 (Special Edition),9.5,Amazing,Wii U,RPG,2012,11,21
Mega Man 2,9.5,Amazing,Wii,Action,2008,9,16
Mega Man 3,9.5,Amazing,NES,Action,2008,11,10
Mega Man 3,9.5,Amazing,Wii,Action,2008,11,10
Metal Gear Solid: Peace Walker,9.5,Amazing,PlayStation Portable,Action,2010,6,7
Metal Gear Solid: Peace Walker (Limited Edition),9.5,Amazing,PlayStation Portable,Action,2010,6,8
Metroid Fusion,9.5,Amazing,Game Boy Advance,"Action, Adventure",2002,11,12
Metroid Prime 2: Echoes,9.5,Amazing,GameCube,"Action, Adventure",2004,11,12
Metroid Prime 3: Corruption,9.5,Amazing,Wii,"Action, Adventure",2007,8,27
Metroid Prime Trilogy,9.5,Amazing,Wii,Compilation,2009,8,21
Minecraft,9.5,Amazing,PlayStation 3,Action,2014,1,24
Minecraft,9.5,Amazing,PlayStation Vita,Action,2014,1,24
NBA 2K11,9.5,Amazing,PlayStation 3,Sports,2010,10,1
NBA 2K11,9.5,Amazing,Xbox 360,Sports,2010,10,1
NBA 2K12,9.5,Amazing,Xbox 360,Sports,2011,9,30
NBA 2K12,9.5,Amazing,PlayStation 3,Sports,2011,9,30
NFL 2K1,9.5,Amazing,Dreamcast,Sports,2000,9,7
New Super Mario Bros.,9.5,Amazing,Nintendo DS,Platformer,2006,5,6
Odin Sphere Leifthrasir,9.5,Amazing,PlayStation 4,RPG,2016,6,1
Odin Sphere Leifthrasir,9.5,Amazing,PlayStation Vita,RPG,2016,6,1
Patapon 2,9.5,Amazing,PlayStation Portable,Action,2009,4,27
Pokemon Ruby Version,9.5,Amazing,Game Boy Advance,RPG,2003,3,17
Pokemon Sapphire Version,9.5,Amazing,Game Boy Advance,RPG,2003,3,17
Portal 2,9.5,Amazing,PC,Shooter,2011,4,18
Portal 2,9.5,Amazing,Xbox 360,Shooter,2011,4,18
Portal 2,9.5,Amazing,PlayStation 3,Shooter,2011,4,18
Prince of Persia: The Sands of Time,9.5,Amazing,Wireless,Platformer,2004,4,16
Pro Evolution Soccer 2016,9.5,Amazing,PlayStation 4,Sports,2015,9,14
Pro Evolution Soccer 2017,9.5,Amazing,PlayStation 4,Sports,2016,9,13
Pro Evolution Soccer 2017,9.5,Amazing,Xbox One,Sports,2016,9,13
Project Gotham Racing 2,9.5,Amazing,Xbox,Racing,2003,11,17
Pushmo,9.5,Amazing,Nintendo 3DS,Puzzle,2011,12,8
Rayman Legends,9.5,Amazing,Xbox 360,Platformer,2013,8,26
Rayman Legends,9.5,Amazing,PlayStation 4,Platformer,2013,8,26
Rayman Legends,9.5,Amazing,PlayStation 3,Platformer,2013,8,26
Rayman Legends,9.5,Amazing,Xbox One,Platformer,2013,8,26
Rayman Legends,9.5,Amazing,Wii U,Platformer,2013,8,26
Rayman Legends,9.5,Amazing,PC,Platformer,2013,8,26
Rayman Origins,9.5,Amazing,Wii,Platformer,2011,11,9
Rayman Origins,9.5,Amazing,PlayStation 3,Platformer,2011,11,9
Rayman Origins,9.5,Amazing,Xbox 360,Platformer,2011,11,9
Rayman Origins,9.5,Amazing,PC,Platformer,2012,3,29
Resident Evil 4,9.5,Amazing,PlayStation 2,"Action, Adventure",2005,10,21
Resident Evil 4: Premium Edition,9.5,Amazing,PlayStation 2,Action,2005,11,18
Resistance 2,9.5,Amazing,PlayStation 3,Shooter,2008,10,28
Resistance 2 (Collector's Edition),9.5,Amazing,PlayStation 3,Shooter,2008,10,28
Rolando,9.5,Amazing,iPhone,Puzzle,2008,12,18
SSX 3,9.5,Amazing,PlayStation 2,Sports,2003,10,17
Samba de Amigo,9.5,Amazing,Dreamcast,Music,2000,10,18
Sid Meier's Alpha Centauri,9.5,Amazing,PC,Strategy,1999,2,12
Sky Force,9.5,Amazing,Wireless,Shooter,2004,2,25
Space Station Silicon Valley,9.5,Amazing,Nintendo 64,Platformer,1998,10,23
Star Wars Knights of the Old Republic,9.5,Amazing,Xbox,RPG,2003,7,14
StarCraft,9.5,Amazing,PC,Strategy,2000,6,2
SteamWorld Dig,9.5,Amazing,PlayStation 4,Platformer,2013,9,18
SteamWorld Dig,9.5,Amazing,PlayStation Vita,Platformer,2013,9,18
SteamWorld Dig,9.5,Amazing,Nintendo 3DS,Platformer,2013,9,18
SteamWorld Dig,9.5,Amazing,PC,Platformer,2013,9,18
Street Fighter Alpha 3,9.5,Amazing,Dreamcast,Fighting,2000,5,19
Super Mario 3D Land,9.5,Amazing,Nintendo 3DS,Platformer,2011,11,9
Super Mario Advance 4: Super Mario Bros. 3,9.5,Amazing,Game Boy Advance,Platformer,2003,10,14
Super Mario Bros. 3,9.5,Amazing,Wii,Platformer,2007,11,12
Super Mario RPG: Legend of the Seven Stars,9.5,Amazing,Wii,RPG,2008,9,2
Super Metroid,9.5,Amazing,Wii,"Action, Adventure",2007,8,20
Super Smash Bros. Brawl,9.5,Amazing,Wii,Fighting,2008,3,4
Super Stardust Delta,9.5,Amazing,PlayStation Vita,Shooter,2012,2,13
Superbrothers: Sword & Sworcery EP,9.5,Amazing,iPad,Adventure,2011,3,23
Superbrothers: Sword & Sworcery EP,9.5,Amazing,iPhone,Adventure,2011,4,27
Syphon Filter,9.5,Amazing,PlayStation,Action,1999,2,17
Syphon Filter: Logan's Shadow,9.5,Amazing,PlayStation Portable,Shooter,2007,10,2
The Elder Scrolls V: Skyrim,9.5,Amazing,PlayStation 3,RPG,2011,11,14
The Elder Scrolls V: Skyrim,9.5,Amazing,Xbox 360,RPG,2011,11,10
The Elder Scrolls V: Skyrim,9.5,Amazing,PC,RPG,2011,11,10
The Legend of Zelda: A Link to the Past,9.5,Amazing,Wii,"Action, Adventure",2007,1,22
The Legend of Zelda: Link's Awakening DX,9.5,Amazing,Nintendo 3DS,"Action, Adventure",2011,6,14
The Legend of Zelda: Majora's Mask,9.5,Amazing,Wii,"Action, Adventure",2009,5,18
The Legend of Zelda: Ocarina of Time 3D,9.5,Amazing,Nintendo 3DS,"Action, Adventure",2011,6,17
The Legend of Zelda: Twilight Princess,9.5,Amazing,Wii,"Action, Adventure",2006,11,17
The Legend of Zelda: Twilight Princess,9.5,Amazing,GameCube,"Action, Adventure",2006,12,15
